question_id,answer,yes_no
28,"VarStr = ‘Hello, World!’",0
28,"VarStr = “Hello, World”",1
28,"VarStr = new String(“Hello, World”)",0
29,Include,0
29,Import,0
29,Using,1
30,Ошибка,0
30,2,0
30,4,1
31,"//, ///, /**/",1
31,"--, /**/",0
31,#,0
32,Try {code} catch(Exception) {code} finally{},1
32,Try {code}except(exception) ,0
32,Try {code} catch {code} finally {code},0
33,- Для создания новой таблицы из табличного источника данных.,1
33,- Для обновления данных в таблице.,0
33,- Для выбора данных из таблицы.,0
34,SELECT * FROM table WHERE id % 2 = 0,1
34,SELECT * FROM table WHERE id // 2 = 0,0
34,SELECT * FROM table WHERE id % 2 == 0,0
35,"- Однорядные функции одновременно работают только с одной строкой, а многорядные функции – с данными из нескольких строк.",1
35,- Однорядные и многорядные функции одновременно работают только с одной строкой.,0
35,"- Однорядные функции одновременно работают только с несколькими строками, а многорядные функции – с данными из одной строки.",0
36,- Команда GROUP BY объединяет все записи.,0
36,"- Команда GROUP BY объединяет все записи, имеющие одинаковые значения в определенном поле или любой группе полей.",1
36,"- Команда GROUP BY объединяет все записи, имеющие не одинаковые значения в определенном поле или любой группе полей.",0
37,- Условия WHERE и HAVING эквивалентны.,1
37,"- Условие HAVING используется для фильтрации значений из группы, а условие WHERE используется для фильтрации записей из результата до срабатывания какой-либо группировки.",0
37,"- Условие HAVING используется для фильтрации значений из группы, а условие WHERE используется для фильтрации записей из результата после срабатывания какой-либо группировки.",0
38,- Условия WHERE и HAVING эквивалентны.,0
38,"- Условие HAVING используется для фильтрации значений из группы, а условие WHERE используется для фильтрации записей из результата до срабатывания какой-либо группировки.",1
38,"- Условие HAVING используется для фильтрации значений из группы, а условие WHERE используется для фильтрации записей из результата после срабатывания какой-либо группировки.",0
39,- Важен.,1
39,- Не важен.,0
40,- Первичный ключ — это уникальное число в таблице.,0
40,"- Первичный ключ — это строки, которые однозначно идентифицируют каждый столбец в таблице.",0
40,"- Первичный ключ — столбец или набор столбцов, которые однозначно идентифицируют каждую строку в таблице.",1
41,- Нулевые (Null) значения не допускаются.,1
41,- Нулевые (Null) значения допускаются.,0
42,"- Значение NULL равно нулю, но не равно пробелу. ",0
42,- Значение NULL равно нулю или пробелу. ,0
42,- Значение NULL не равно нулю и не равно пробелу. ,1
42,"- Значение NULL не равно нулю, но равно пробелу. ",0
43,- Нет разницы.,0
43,"- Команда DROP удаляет саму таблицу, тогда как команда TRUNCATE удаляет все строки из таблицы.",1
43,"- Команда DROP удаляет все строки из таблицы, тогда как команда TRUNCATE удаляет саму таблицу.",0
44,"- Внешний ключ поддерживает ссылочную целостность, обеспечивая связь между данными в двух таблицах. Внешний ключ в дочерней таблице ссылается на первичный ключ в родительской таблице.",1
44,"- Внешний ключ поддерживает ссылочную целостность, обеспечивая связь между данными в двух таблицах. Внешний ключ в дочерней таблице не может ссылаться на первичный ключ в родительской таблице.",0
44,"- Внешний ключ это то же самое, что и первичный ключ.",0
45,"- Date (),",0
45,"- TodayDate (),",0
45,"- GetDate (),",1
46,"- CREATE TABLE, DROP TABLE",0
46,"- GRANT, REVOKE",1
46,"- SELECT, DELETE, INSERT",0
47,"- CREATE TABLE, DROP TABLE",0
47,"- GRANT, REVOKE",0
47,"- SELECT, DELETE, INSERT",1
48,"- CREATE TABLE, DROP TABLE",1
48,"- GRANT, REVOKE",0
48,"- SELECT, DELETE, INSERT",0
